City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,villa gesell,-37.2639,-56.973,56.88,81,100,11.59,AR,1745306401
315,port elizabeth,-33.918,25.5701,61.32,98,100,3.44,ZA,1745306462
316,sanctuary point,-35.1114,150.629,68.61,82,16,14.56,AU,1745306550
317,mata-utu,-13.2816,-176.1745,83.17,70,100,1.12,WF,1745306551
318,wuchuan,21.4571,110.7659,87.6,52,5,10.13,CN,1745306553
319,katsuura,35.1333,140.3,63.55,78,88,18.5,JP,1745306554
320,colonia,50.9333,6.95,55.06,88,100,4.61,DE,1745306555
321,tadine,-21.55,167.8833,74.48,75,100,6.98,NC,1745306556
322,nar'yan-mar,67.6713,53.087,26.08,84,44,16.53,RU,1745306557
323,tarko-sale,64.9225,77.785,20.48,75,87,7.65,RU,1745306558
324,al khafji,28.4391,48.4913,80.64,47,1,14.5,SA,1745306559
325,owase,34.0667,136.2,68.79,78,100,4.81,JP,1745306561
326,caluula,11.9661,50.7569,85.39,52,5,9.46,SO,1745306562
327,kapa'a,22.0752,-159.319,75.52,88,75,12.66,US,1745306563
328,port hedland,-20.3167,118.5667,91.45,62,20,20.71,AU,1745306330
329,shimoda,34.6667,138.95,64.69,73,100,10.25,JP,1745306565
330,bakchar,57.0186,82.0711,43.5,36,84,6.51,RU,1745306566
331,jean-rabel,19.8533,-73.1917,71.94,71,0,20.74,HT,1745306567
332,zaysan,47.4667,84.8667,62.47,45,53,10.4,KZ,1745306569
333,port saint john's,-31.6229,29.5448,68.43,89,100,10.51,ZA,1745306570
334,mournies,35.4764,24.0092,67.84,70,75,13.8,GR,1745306571
335,walvis bay,-22.9575,14.5053,58.15,88,100,3.44,NA,1745306534
336,bacalar,18.6667,-88.3833,74.77,90,2,5.5,MX,1745306573
337,akrehamn,59.2667,5.1833,46.65,87,75,3.44,NO,1745306574
338,lubuklinggau,-3.3,102.8667,89.71,57,63,0.49,ID,1745306575
339,palikir - national government center,6.9248,158.1611,84.94,74,40,4.61,FM,1745306576
340,huadian,42.9633,126.7478,54.68,54,40,7.4,CN,1745306578
341,tsiombe,-25.3,45.4833,76.01,70,100,10.0,MG,1745306554
342,runing,33.0011,114.3542,78.82,30,100,12.84,CN,1745306580
343,nantucket,41.2835,-70.0995,48.31,71,100,14.97,US,1745306493
344,inhambane,-23.865,35.3833,82.38,65,20,9.22,MZ,1745306582
345,walterboro,32.9052,-80.6668,60.87,100,0,3.44,US,1745306583
346,anna regina,7.2644,-58.5077,77.45,87,100,6.15,GY,1745306584
347,jiayuguan,39.8167,98.3,64.96,11,100,12.91,CN,1745306586
348,saint-francois,46.4154,3.9054,53.65,82,100,4.61,FR,1745306588
349,odense,55.3959,10.3883,49.89,92,100,5.93,DK,1745306400
350,kidal,18.4411,1.4078,86.92,13,12,14.29,ML,1745306590
351,arraial do cabo,-22.9661,-42.0278,67.96,88,75,3.44,BR,1745306593
352,sosnovo,60.5514,30.2144,37.6,77,99,9.71,RU,1745306594
353,essaouira,31.5125,-9.77,60.3,77,0,16.11,MA,1745306595
354,jonuta,18.0833,-92.1333,79.52,70,100,7.96,MX,1745306596
355,sikonge,-5.6333,32.7667,74.8,68,24,7.78,TZ,1745306597
356,santa elena de uairen,4.6167,-61.1333,65.53,95,100,0.45,VE,1745306598
357,jinchang,38.4953,102.1739,66.33,6,100,14.63,CN,1745306599
358,malpica,43.3228,-8.8105,48.22,100,18,4.38,ES,1745306600
359,la'ie,21.6477,-157.9253,76.39,80,100,4.0,US,1745306601
360,keetmanshoop,-26.5833,18.1333,66.34,40,83,8.08,NA,1745306603
361,horta,38.5333,-28.6333,62.24,89,75,13.0,PT,1745306604
362,castillos,-34.1667,-53.8333,50.94,96,41,4.27,UY,1745306605
363,portland,45.5234,-122.6762,46.81,76,0,5.99,US,1745306094
364,puerto leguizamo,-0.1934,-74.7819,72.32,96,27,1.41,CO,1745306607
365,laguna,38.421,-121.4238,63.64,70,0,5.75,US,1745306608
366,taoudenni,22.6783,-3.9836,82.02,12,78,8.63,ML,1745306609
367,mar del plata,-38.0023,-57.5575,60.84,78,100,4.0,AR,1745306359
368,udachny,66.4167,112.4,22.05,90,100,22.32,RU,1745306612
369,robore,-18.3333,-59.75,69.8,81,100,2.62,BO,1745306613
370,vila franca do campo,37.7167,-25.4333,59.41,95,22,1.81,PT,1745306614
371,manta,-0.95,-80.7333,74.12,88,90,5.3,EC,1745306406
372,turpan,42.9333,89.1667,76.26,10,100,2.06,CN,1745306616
373,zouerate,22.7187,-12.4521,67.96,31,98,8.9,MR,1745306617
374,praia da vitoria,38.7333,-27.0667,62.85,82,20,9.01,PT,1745306618
375,olinda,-8.0089,-34.8553,78.53,89,75,3.44,BR,1745306619
376,balabac,7.9868,117.0645,86.58,64,88,7.31,PH,1745306621
377,broome,42.2506,-75.833,53.65,91,100,1.99,US,1745306622
378,el bauga,18.262,33.9081,94.91,22,0,15.57,SD,1745306496
379,antofagasta,-23.65,-70.4,62.74,95,97,6.17,CL,1745306624
380,luderitz,-26.6481,15.1594,60.24,86,100,8.97,NA,1745306625
381,baiyin,36.5583,104.2081,60.6,20,100,5.93,CN,1745306626
382,tuensang,26.2833,94.8333,75.67,74,8,3.6,IN,1745306627
383,porto novo,6.4965,2.6036,84.02,77,98,8.66,BJ,1745306628
384,smithers,54.7804,-127.1743,41.32,56,20,5.75,CA,1745306630
385,iranshahr,27.2025,60.6848,93.54,14,0,4.61,IR,1745306631
386,ad dilam,23.9915,47.1627,95.05,12,15,19.77,SA,1745306632
387,prattville,32.464,-86.4597,67.82,95,75,3.44,US,1745306452
388,mount pearl,47.5166,-52.7813,35.15,95,100,26.46,CA,1745306600
389,indri,29.88,77.0711,104.29,5,0,8.95,IN,1745306635
390,pajapan,18.25,-94.7,75.74,79,99,2.39,MX,1745306636
391,mokhsogollokh,61.4681,128.9203,33.51,80,100,2.66,RU,1745306637
392,bodo,67.28,14.405,36.77,91,75,18.41,NO,1745306639
393,fedorovskiy,45.0972,40.9517,63.19,76,99,3.0,RU,1745306640
394,calama,-22.4667,-68.9333,50.49,50,0,13.8,CL,1745306509
395,riberalta,-10.9833,-66.1,74.01,98,100,0.51,BO,1745306645
396,aykhal,66.0,111.5,20.46,91,100,19.39,RU,1745306646
397,rakops,-21.0167,24.3333,78.24,48,9,8.32,BW,1745306647
398,turinsk,58.0458,63.696,63.64,60,88,10.98,RU,1745306648
399,piacabucu,-10.4056,-36.4344,77.32,76,33,6.49,BR,1745306649
400,fabens,31.5023,-106.1586,63.97,13,0,4.05,US,1745306650
401,poronaysk,49.2167,143.1167,34.23,65,100,10.33,RU,1745306651
402,wanning,18.8003,110.3967,89.06,61,0,17.07,CN,1745306652
403,ofunato,39.0717,141.7167,49.33,78,100,6.73,JP,1745306654
404,bahia honda,22.9036,-83.1592,72.59,81,0,10.76,CU,1745306655
405,luganville,-15.5333,167.1667,79.99,88,100,9.08,VU,1745306568
406,filingue,14.3521,3.3168,88.84,8,6,6.02,NE,1745306657
407,yeniseysk,58.4497,92.1703,33.8,68,100,9.93,RU,1745306658
408,weno,7.4515,151.8468,85.95,79,40,5.75,FM,1745306659
409,fuengirola,36.54,-4.6247,62.85,77,20,5.75,ES,1745306660
410,bhamo,24.2667,97.2333,101.61,25,21,7.14,MM,1745306661
411,chibougamau,49.9168,-74.3659,33.42,93,100,16.11,CA,1745306663
412,mila doce,26.2262,-97.9589,75.31,96,100,3.44,US,1745306664
413,acajutla,13.5928,-89.8275,80.37,84,17,6.78,SV,1745306665
414,huangnihe,43.5583,128.0239,49.03,58,4,13.49,CN,1745306667
415,tinajo,29.0788,-13.7081,65.28,63,75,14.97,ES,1745306668
416,flying fish cove,-10.4217,105.6791,83.88,89,75,5.75,CX,1745306669
417,peace river,56.2501,-117.286,38.66,78,0,2.3,CA,1745306671
418,dalhart,36.0595,-102.5133,48.22,49,0,8.05,US,1745306672
419,ulladulla,-35.35,150.4667,68.54,81,71,13.0,AU,1745306673
420,island harbour,50.724,-1.2758,48.74,97,100,5.88,GB,1745306674
421,sarpol-e zahab,34.4611,45.8626,81.45,19,10,7.38,IR,1745306675
422,amahai,-3.3333,128.9167,84.42,78,97,3.13,ID,1745306676
423,nyagan,62.1406,65.3936,34.11,100,100,6.78,RU,1745306677
424,anapa,44.8908,37.3239,53.94,82,75,8.95,RU,1745306523
425,arteche,12.2645,125.4048,85.77,69,100,6.98,PH,1745306680
426,mugia,43.1041,-9.2179,48.9,79,20,4.05,ES,1745306681
427,hengchun,22.0042,120.7439,86.45,70,0,19.62,TW,1745306682
428,dedovichi,57.5517,29.9502,52.77,77,100,4.23,RU,1745306683
429,xining,36.6167,101.7667,61.11,27,100,9.28,CN,1745306684
430,kachug,53.9606,105.8817,36.09,48,100,16.28,RU,1745306685
431,vanimo,-2.6741,141.3028,78.21,88,100,4.63,PG,1745306686
432,sovetskaya gavan',48.9723,140.2878,33.55,91,100,9.64,RU,1745306687
433,nuevo necaxa,20.2128,-98.0047,68.09,93,43,2.48,MX,1745306689
434,anahuac,27.2333,-100.15,72.5,91,60,15.03,MX,1745306690
435,bikenibeu village,1.3673,173.1241,78.76,94,75,8.05,KI,1745306691
436,uvira,-3.4067,29.1458,80.73,73,89,3.58,CD,1745306692
437,salekhard,66.53,66.6019,28.76,96,100,11.74,RU,1745306687
438,toliara,-23.35,43.6667,80.17,62,0,9.86,MG,1745306694
439,fort st. john,56.2499,-120.8529,35.49,64,75,6.91,CA,1745306695
440,remire-montjoly,4.9167,-52.2667,78.84,94,75,3.44,GF,1745306697
441,santa cruz,-17.8,-63.1667,67.46,100,75,8.05,BO,1745306596
442,caburan,5.9181,125.6411,82.4,71,100,11.18,PH,1745306699
443,witu,-2.3889,40.4382,85.82,67,89,7.38,KE,1745306700
444,arkhangel'sk,64.5401,40.5433,33.91,47,20,8.95,RU,1745306548
445,salalah,17.0151,54.0924,91.49,43,0,8.05,OM,1745306702
446,lautoka,-17.6167,177.4667,78.66,78,20,5.75,FJ,1745306703
447,laojunmiao,39.8333,97.7333,57.25,17,100,11.72,CN,1745306705
448,san luis de la loma,17.2706,-100.8939,74.41,80,99,1.77,MX,1745306708
449,lubango,-14.9172,13.4925,65.53,64,2,3.31,AO,1745306709
450,codrington,-38.2667,141.9667,60.84,79,99,13.82,AU,1745306710
451,tofol,5.3248,163.0078,82.45,78,65,13.82,FM,1745306713
452,akureyri,65.6835,-18.0878,35.53,55,100,5.75,IS,1745306714
453,khanty-mansiysk,61.0042,69.0019,39.31,60,40,11.18,RU,1745306715
454,ancud,-41.8697,-73.8203,53.92,97,100,12.46,CL,1745306716
455,pailon,-17.65,-62.75,68.56,91,100,4.68,BO,1745306717
456,tevriz,57.509,72.4042,53.28,69,68,12.08,RU,1745306718
457,richards bay,-28.783,32.0377,74.21,76,42,5.7,ZA,1745306721
458,sierra grande,-41.606,-65.3557,54.66,90,99,12.59,AR,1745306722
459,nasipit,8.9692,125.2947,86.04,60,99,5.82,PH,1745306723
460,sylvan lake,52.3168,-114.0853,31.57,97,100,6.91,CA,1745306702
461,daru,-9.0763,143.2092,82.92,81,100,7.9,PG,1745306725
462,newborough,52.6389,-0.2233,50.02,90,0,9.22,GB,1745306726
463,dickinson,29.4608,-95.0513,72.05,93,100,1.01,US,1745306728
464,serchhip,23.3,92.8333,93.87,39,0,8.14,IN,1745306729
465,vernon,50.2581,-119.2691,40.93,63,1,4.61,CA,1745306635
466,coquimbo,-29.9533,-71.3436,55.13,87,100,5.75,CL,1745306731
467,horodok,49.1637,26.5839,71.11,44,3,5.79,UA,1745306732
468,malampaka,-3.1333,33.5333,73.72,74,10,4.16,TZ,1745306733
469,arvika,59.6553,12.5852,42.3,95,100,4.68,SE,1745306735
470,santa helena,-2.2311,-45.3,73.44,99,100,2.46,BR,1745306558
471,nadym,65.5333,72.5167,27.68,74,100,19.08,RU,1745306737
472,gebeit,21.0667,36.3167,90.1,10,0,16.91,SD,1745306738
473,mossel bay,-34.1831,22.146,58.93,79,100,21.21,ZA,1745306740
474,bikin,46.8161,134.26,44.46,89,100,12.57,RU,1745306741
475,green river,41.5286,-109.4662,38.17,57,0,5.08,US,1745306743
476,tazacorte,28.629,-17.9293,65.37,83,75,13.8,ES,1745306744
477,khilok,51.3674,110.4676,40.21,54,100,16.58,RU,1745306745
478,tarija,-21.5355,-64.7296,56.77,93,100,0.56,BO,1745306746
479,leava,-14.3,-178.1667,83.73,73,96,5.95,WF,1745306747
480,kavaratti,10.5669,72.642,84.88,73,60,3.87,IN,1745306748
481,kasongo-lunda,-6.4667,16.8167,74.16,92,86,3.91,CD,1745306749
482,solnechnyy,50.7214,136.6319,36.21,99,100,5.48,RU,1745306750
483,luena,-11.7833,19.9167,62.96,98,100,2.82,AO,1745306752
484,sitangkai,4.6628,119.3928,84.07,67,10,0.47,PH,1745306753
485,tubarjal,30.4999,38.216,80.73,12,99,6.62,SA,1745306754
486,san julian,21.0167,-102.1667,61.9,24,100,3.18,MX,1745306755
487,ceeldheer,3.8488,47.1806,87.33,62,45,13.65,SO,1745306756
488,howrah,22.5892,88.3103,96.8,59,40,12.66,IN,1745306757
489,biloela,-24.4167,150.5,74.01,33,0,11.99,AU,1745306758
490,tandalti,13.0167,31.8667,98.87,12,1,8.08,SD,1745306760
491,stephenville,32.2207,-98.2023,61.14,63,0,5.75,US,1745306761
492,perry,37.2506,-83.1999,60.28,93,100,2.48,US,1745306762
493,kununurra,-15.7667,128.7333,93.18,40,70,6.91,AU,1745306644
494,makushino,55.2103,67.2442,68.74,50,5,14.85,RU,1745306764
495,sandnessjoen,66.0217,12.6316,41.11,87,75,12.66,NO,1745306765
496,yilan,24.757,121.753,89.31,49,100,6.78,TW,1745306766
497,newquay,50.4132,-5.0819,50.49,87,20,6.91,GB,1745306767
498,takedamachi,32.9667,131.4,63.09,89,100,4.43,JP,1745306769
499,dwarka,22.2394,68.9678,87.3,50,0,11.83,IN,1745306770
500,la passe,45.5549,-0.8967,52.7,89,100,10.22,FR,1745306771
501,chivilcoy,-34.8957,-60.0167,56.21,77,92,5.5,AR,1745306772
502,paraiso,9.8383,-83.8656,65.41,85,100,4.61,CR,1745306773
503,camana,-16.6228,-72.7111,67.42,87,28,2.19,PE,1745306739
504,sur,22.5667,59.5289,88.29,36,0,7.14,OM,1745306775
505,zgornje jezersko,46.3833,14.4667,56.03,77,75,3.44,SI,1745306776
506,san-pedro,4.7485,-6.6363,78.96,90,39,3.24,CI,1745306779
507,bachhraon,28.9333,78.2167,105.82,3,0,11.07,IN,1745306780
508,bandon,51.7469,-8.7425,49.59,92,57,14.65,IE,1745306781
509,mangrol,21.1167,70.1167,88.21,46,0,14.5,IN,1745306782
510,gushu,31.5598,118.4829,74.01,57,100,13.98,CN,1745306783
511,ouadda,8.0777,22.4007,89.46,41,2,3.91,CF,1745306784
